Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
115,,6:33,6:34,393,394,"Reporter 1  says that ""It just says, 'Wrong!'"" ", ,,Indoor,G,Reporter 1,Reporter 1,Reporter 1,Indoor,Police Press Conference Room,Medium,,No,,,4,+
116,,6:34,6:38,394,398,"Lestrade grimaces and looks uncomfortable as Donovan says: ""Yeah, well, just ignore that. Okay, if there are no more questions for Detective Inspector Lestrade…"" ", ,,Indoor,G,"Lestrade, Donovan",Lestrade,Donovan,Indoor,Police Press Conference Room,Medium,,No,,,4,+
117,,6:38,6:40,398,400,"Donovan continues: ""…I'm going to bring this session to an end."" Lestrade remains silent and seated beside her. ", ,,Indoor,G,"Lestrade, Donovan",Lestrade,Donovan,Indoor,Police Press Conference Room,Medium,,No,,,4,+
118,,6:40,6:42,400,402,"Reporter 2 asks: "" But if they are suicides, what are you investigating?""", ,,Indoor,G,Reporter 2,Reporter 2,Reporter 2,Indoor,Police Press Conference Room,Close Up,,No,,,4,+
119,,6:42,6:52,402,412,"Lestrade answers with his hands together: ""As I say, these…these suicides are clearly linked. Um, it's an…it's an unusual situation. we have got our best people investigating…""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,Medium,,No,,,4,+
120,,6:52,6:53,412,413,"Everyone's phones trill another text alert again. Everybody looks down at their phones, including the reporters and Lestrade. ", ,,Indoor,G,"Reporters, Lestrade","Reporters, Lestrade",,Indoor,Police Press Conference Room,Medium,,No,,,4,+
121,,6:53,6:55,413,415,"Once again, each message reads: Wrong!", ,,Indoor,G,"Reporters, Cameramen",Reporters,,Indoor,Police Press Conference Room,"Over the Shoulder, Medium",Wrong!,No,,,4,+
122,,6:55,6:57,415,417,"Close up view of Lestrade's phone. Reporter 1 says in the background: ""Says, 'Wrong,' again.""", ,,Indoor,G,"Lestrade, Reporter 1",,Reporter 1,Indoor,Police Press Conference Room,Close Up,,No,,,4,+
123,,6:57,6:58,417,418,Lestrade looks despairingly toward Donovan to his left. , ,,Indoor,G,Lestrade,Lestrade,,Indoor,Police Press Conference Room,Medium,,No,,,4,+
124,,6:58,6:59,418,419,"Donovan states: ""One more question.""", ,,Indoor,G,Lestrade,Lestrade,Donovan,Indoor,Police Press Conference Room,Medium,,No,,,4,+
125,,6:59,7:03,419,423,"Reporter 3 asks ""Is there any chance that these are murders, and if they are, is this the work of a serial killer?"" ", ,,Indoor,G,Reporter 3,Reporter 3,Reporter 3,Indoor,Police Press Conference Room,Medium,,No,,,4,+
126,,7:03,7:13,423,433,"Lestrade replies: ""I…I know that you like writing about these, but these do appear to be suicides. We know the difference. The, um, poison, was clearly self-administered. """, ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
127,,7:13,7:16,433,436,"Reporter 3 asks: ""Yes, but if they are murders, how do people keep themselves safe?""", ,,Indoor,G,Reporter 3,Reporter 3,Reporter 3,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
128,,7:16,7:17,436,437,"Lestrade answers: ""Well, don't commit suicide.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
129,,7:17,7:19,437,439,Reporter 3 looks shocked. , ,,Indoor,G,Reporter 3,Reporter 3,,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
130,,7:19,7:20,439,440,"Donovan covers her mouth and murmurs to Lestrade: ""Daily Mail."" She is warning Lestrade to watch what he says. ", ,,Indoor,G,"Donovan, Lestrade",Donovan,Donovan,Indoor,Police Press Conference Room,Close Up,,Yes,,,4,+
131,,7:20,7:28,440,448,"Lestrade grimaces and looks at the reporters again. He says: ""Obviously this is a frightening time for people, but all anyone has to do is exercise reasonable precautions.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
132,,7:28,7:30,448,450,"Lestrade continues: ""We are all as safe as we want to be."" As soon as he finishes that statement, everyone's phones trill text message alerts again. ", ,,Indoor,G,"Lestrade, Donovan",Lestrade,Lestrade,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
133,,7:30,7:33,450,453,"All the reporters in the room check their phones once again. Once more, the message reads: Wrong!", ,,Indoor,G,"Reporters, Cameramen",Reporters,,Indoor,Police Press Conference Room,Medium,Wrong!,Yes,,,4,+
134,,7:33,7:37,453,457,"Lestrade's phone takes a moment longer to alert him to a text and when he looks at it, the message reads: You know where to find me. SH", ,,Indoor,G,Lestrade,Lestrade,,Indoor,Police Press Conference Room,Medium,You know where to find me. SH,Yes,,,4,+
135,,7:37,7:43,457,463,"Looking exasperated, Lestrade puts the phone into his pocket and looks at the reporters as he stands up. He says: ""Thank you."" Donovan stands up to leave as well. ", ,,Indoor,G,"Lestrade, Donovan","Lestrade, Donovan",Lestrade,Indoor,Police Press Conference Room,Medium,,Yes,,,4,+
136,,7:43,7:47,463,467,"Shortly afterwards, Lestrade and Donovan are walking through offices of New Scotland Yard. Donovan says to Lestrade: ""you have got to stop him doing that. He's making us look like idiots.""", ,,Indoor,G,"Lestrade, Donovan, Office Workers","Lestrade, Donovan",Donovan,Indoor,Offices of New Scotland Yard PD,Medium,,Yes,Jump,1,4,+
137,,7:47,7:50,467,470,"Lestrade says: ""Well, if you can tell me how he does it, I'll stop him.""", ,,Indoor,G,"Lestrade, Donovan, Office Workers","Lestrade, Donovan",Lestrade,Indoor,Offices of New Scotland Yard PD,Medium,,Yes,,,4,+
138,John and Mike in the Park ,7:50,8:00,470,480,John is walking with a limp through Russell Square Park with his cane looking preoccupied. ,11. John runs into an old friend from St. Bartholomew's Hospital medical school named Mike Stamford while walking through a park. The two friends catch up and Mike learns that John is a different person having experienced a war and needs a flatmate and a place to stay in London.,14. Park run in,Outdoor,M,John,John,,Outdoor,Russell Square Park,"Tracking, Medium",,No,Jump,2,2,+
139,,8:00,8:04,480,484,"John passes by a bench in the park where a man dressed in a beige jacket with a suit and tie and glasses calls out ""John! John Watson!"" ",Segment 138-165,,Outdoor,"M, G","John, Mike","John, Mike",Mike,Outdoor,Russell Square Park,"Tracking, Medium",,No,,,3,+
140,,8:04,8:05,484,485,John turns around as the man approaches. , ,,Outdoor,"M, G","John, Mike",John,,Outdoor,Russell Square Park,"Over the Shoulder, Medium",,No,,,3,+
141,,8:05,8:07,485,487,"The man walks closer and introduces himself saying: ""Stamford. Mike Stamford.We were at Bart's together.""", ,,Outdoor,"M, G","John, Mike",Mike,Mike,Outdoor,Russell Square Park,"Over the Shoulder, Medium",,No,,,3,+
142,,8:07,8:10,487,490,"John recognises him and says ""Yes sorry, yes, Mike, hello, hi."" He takes Mike's offered hand, putting his cane in the other hand, and shakes it. ", ,,Outdoor,"M, G","John, Mike","John, Mike",John,Outdoor,Russell Square Park,Medium,,No,,,3,+
143,,8:10,8:11,490,491,"(while shaking) Mike grins, gestures to himself, says ""Yes, I know, I got fat"". ", ,,Outdoor,"M, G","John, Mike","John, Mike",Mike,Outdoor,Russell Square Park,Medium,,No,,,3,+
144,,8:11,8:12,491,492,"John, trying to sound convincing, says: ""No.""", ,,Outdoor,"M, G","John, Mike","John, Mike",John,Outdoor,Russell Square Park,Medium,,No,,,3,+
145,,8:12,8:15,492,495,"Mike: ""I heard you were abroad somewhere getting shot at, what happened?""", ,,Outdoor,"M, G","John, Mike",Mike,Mike,Outdoor,Russell Square Park,"Over the Shoulder, Medium",,No,,,3,+
146,,8:15,8:18,495,498,"John looks down awkwardly at his leg and looks back up and awkwardly says: ""I got shot."" ", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park,"Over the Shoulder, Medium",,No,,,3,+
147,,8:18,8:19,498,499,Mike's smile disappears and they both seem embarassed, ,,Outdoor,"M, G","John, Mike",Mike,,Outdoor,Russell Square Park,"Over the Shoulder, Medium",,No,,,3,+
148,,8:19,8:23,499,503,"John and Mike are sitting down together at a park bench, each with a coffee in their hand. John takes a sip of his coffee in his left hand and purses his lips. ", ,,Outdoor,"M, G","John, Mike","John, Mike",,Outdoor,Russell Square Park on a Bench,Medium,,No,Jump,1,3,+
149,,8:23,8:25,503,505,"John turns to his left and asks Mike: ""Are you still at Bart's then?""", ,,Outdoor,"M, G","John, Mike","John, Mike",John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
150,,8:25,8:29,505,509,"Mike answers: ""Teaching now. Bright young things, like we used to be. God, I hate them!"" Mike chuckles. ", ,,Outdoor,"M, G","John, Mike","John, Mike",Mike,Outdoor,Russell Square Park on a Bench,Two Shot,,No,,,3,+
151,,8:29,8:31,509,511,John laughs , ,,Outdoor,"M, G","John, Mike","John, Mike",,Outdoor,Russell Square Park on a Bench,Two Shot,,No,,,3,+
152,,8:31,8:34,511,514,"Mike asks John: What about you? Just staying in town 'til you get yourself sorted?""", ,,Outdoor,"M, G","John, Mike","John, Mike",Mike,Outdoor,Russell Square Park on a Bench,Two Shot,,No,,,3,+
153,,8:34,8:35,514,515,"John replies: ""I can't afford London on an army pension.""", ,,Outdoor,"M, G","John, Mike","John, Mike",John,Outdoor,Russell Square Park on a Bench,Two Shot,,No,,,3,+
154,,8:35,8:39,515,519,"Mike: ""Ah, and you could not bear to be anywhere else. That's not the John Watson I know.""", ,,Outdoor,"M, G","John, Mike",Mike,Mike,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
155,,8:39,8:40,519,520,"John uncomfortably says: ""Yeah, I'm not the John Watson…"" and never finishes his sentence.", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
156,,8:40,8:41,520,521,Mike awkwardly looks away and drinks his coffee., ,,Outdoor,"M, G","John, Mike",John,,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
157,,8:41,8:44,521,524,"John switches his own cup to his right hand and looks down at his left hand, clenching it into a fist as he tries to control the tremor that has started. ", ,,Outdoor,"M, G","John, Mike",John,,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
158,,8:44,8:47,524,527,"Mike looks at John again and asks: ""could not Harry help?""", ,,Outdoor,"M, G","John, Mike",Mike,Mike,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
159,,8:47,8:50,527,530,"John scoffs and sarcastically says: ""Yeah, like that's going to happen.""", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
160,,8:50,8:53,530,533,"Mike shrugs and suggests: ""I dunno- get a flatshare or something?", ,,Outdoor,"M, G","John, Mike",John,Mike,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
161,,8:53,8:55,533,535,"John says: ""Come on, who would want me for a flat mate?""", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
162,,8:55,8:57,535,537,Mike chuckles and John looks at him wonderingly. , ,,Outdoor,"M, G","John, Mike",Mike,,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
163,,8:57,8:58,537,538,"John asks :""What?""", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
164,,8:58,9:02,538,542,"Mike says: ""Well, you are the second person to say that to me today.""", ,,Outdoor,"M, G","John, Mike",Mike,Mike,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
165,,9:02,9:03,542,543,"John asks: ""Who was the first?""", ,,Outdoor,"M, G","John, Mike",John,John,Outdoor,Russell Square Park on a Bench,Medium,,No,,,3,+
166,Sherlock at the Morgue ,9:03,9:07,543,547,Sherlock unzips the body bag lying on the table and peers at the corpse inside. He sniffs. ,"12. Sherlock is at St. Bartholomew's Hospital Morgue examining a fresh body of a man involved in a crime. Molly, the speciliast registrar at the Morgue attempts to ask Sherlock to go out on a coffee date with her but fails. Sherlock does not notice her feelings toward him. ",15. Lab Flirting,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue,Medium,,Yes,Jump,2,4,+
167,,9:07,9:09,547,549,"Sherlock asks: ""How fresh?"" Molly says: ""Just in"" ",Segment 166-186,,Indoor,M,"Sherlock, Molly",Sherlock,Molly,Indoor,St. Bartholomew's Hospital Morgue,Medium,,Yes,,,4,+
168,,9:09,9:12,549,552,"Shot of room with Sherlock peering into the bag and Molly making her way around closer to Sherlock. Molly says ""sixty seven natural causes. Used to work here."" ", ,,Indoor,"M, G","Sherlock, Molly","Sherlock, Molly",Molly,Indoor,St. Bartholomew's Hospital Morgue,Long,,Yes,,,4,+
169,,9:12,9:14,552,554,"Molly pleasantly continues: ""I knew him. He was nice."" She approaches Sherlock. ", ,,Indoor,G,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue,Medium,,Yes,,,4,+
170,,9:14,9:15,554,555,Sherlock zips the bag, ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue,Medium,,Yes,,,4,+
171,,9:15,9:18,555,558,"Sherlock looks at Molly with a fake smile and says: ""Fine. We'll start with the riding crop."" ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Morgue,Medium,,Yes,,,4,+
172,,9:18,9:24,558,564,Scene with Molly peering into a room from the outside through an observation window. Sherlock is seen flogging the body which has been removed from the bag and is lying on its back on the table (off-screen) with a riding crop, ,,Indoor,"M, G","Sherlock, Molly","Sherlock, Molly",,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,5,+
173,,9:24,9:26,564,566,Sherlock starts whipping the body faster. , ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,5,+
174,,9:26,9:27,566,567,Molly comes into the room flinching but smiling with admiration. , ,,Indoor,G,Molly,Molly,,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,5,+
175,,9:27,9:29,567,569,"Sherlock whips the body very quickly, finishes, then straightens up, breathless. ", ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,5,+
176,,9:29,9:33,569,573,"Molly smiles and asks: ""So, bad day, was it?"" She chuckles. ", ,,Indoor,G,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,No,,,4,+
177,,9:33,9:37,573,577,"Sherlock ignores her banter, takes out a notebook and starts writing in it. He says to Molly: ""I need to know what bruises form in the next twenty minutes. A man's alibi depends on it. Text me."" ", ,,Indoor,M,"Sherlock, Molly",Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,"Over the Shoulder, Medium",,No,,,4,+
178,,9:37,9:39,577,579,"Molly shyly looks up at Sherlock and says: ""Listen, I was wondering, maybe later…""", ,,Indoor,G,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,No,,,4,+
179,,9:39,9:40,579,580,"Sherlock glances at her while he is writing, then does a double-take and frowns at her. Molly continues: ""…when you are finished…"" ", ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,"Over the Shoulder, Medium",,No,,,4,+
180,,9:40,9:43,580,583,"Sherlock interrupts her and asks: ""Are you wearing lipstick? You were not wearing lipstick before.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
181,,9:43,9:46,583,586,"Molly nervously says: ""I, uh, I refreshed it a bit."" She smiles at him flirtatiously. ", ,,Indoor,G,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
182,,9:46,9:47,586,587,"Sherlock gives a long oblivious look, then goes back to writing in his notebook.", ,,Indoor,M,Sherlock,Sherlock,,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
183,,9:47,9:50,587,590,"Sherlock resumes his note taking and says ""Sorry, you were saying?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
184,,9:50,9:52,590,592,"Molly gazes at him intently and says: ""I was wondering if you would like to have coffee.""", ,,Indoor,M,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
185,,9:52,9:56,592,596,"Sherlock puts his notebook away and says: ""Black, two sugars, please. I'll be upstairs."" then leaves the room", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Medium,,Yes,,,4,+
186,,9:56,9:58,596,598,"Molly awkwardly stands alone next to the table in the room and quietly says to herself. ""Ok""", ,,Indoor,G,Molly,Molly,Molly,Indoor,St. Bartholomew's Hospital Morgue Viewing Room ,Long,,Yes,,,4,+
187,Chemical Laboratory/First Meeting with John,9:58,10:01,598,601,Sherlock is pipetting chemicals in a  wet laboratory onto a petri dish. He peers down at his sample,"13. Sherlock is at St. Bartholomew's Hospital Laboratory when Mike comes in with John, showing him around his work place. Sherlock borrows John's cellphone to send a text, and he asks John if he went to Afghanistan or Iraq. Molly comes in with his coffee and Sherlock resumes his work. ",16. Watson and SH meet,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,St. Bartholomew's Hospital Laboratory,Medium,,No,,,2,+
